Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2008	9.80842	115.66	99.6347	
2	2008	10.6923	115.242	97.4502	
3	2008	11.2771	116.197	92.5307	
4	2008	10.8691	117.473	90.507	
5	2008	8.74216	121.217	87.9677	
6	2008	7.31706	123.148	87.7881	
7	2008	4.06529	126.373	89.7987	
8	2008	2.72475	127.204	91.5687	
9	2008	0.831513	127.007	96.317	
10	2008	0.557134	126.085	98.4335	
11	2008	1.44118	122.513	102.012	
12	2008	2.43044	120.631	102.75	
13	2008	5.58212	116.703	102.008	
14	2008	7.01411	115.545	100.721	
15	2008	9.57239	114.782	96.326	
16	2008	10.1264	115.295	94.1432	
17	2008	9.82556	117.995	89.7697	
18	2008	8.9627	119.706	88.4193	
19	2008	5.92058	123.571	87.4914	
20	2008	4.19556	125.019	88.2126	
21	2008	-2.62299	121.837	87.3545	
22	2008	-8.42359	114.351	84.1488	

