Sensor_Positions_2.0
Sensor#	Time	X	Y	Z
1	8	-0.814463	121.221	87.6366	
1	-9	-0.732509	121.223	87.6654	
1	24	-0.88626	121.224	87.6066	
1	41	-0.967819	121.224	87.5793	
1	58	-1.03261	121.222	87.5537	
1	74	-1.09252	121.219	87.5276	
1	91	-1.15742	121.225	87.5015	
1	108	-1.22063	121.227	87.4756	
1	124	-1.28577	121.237	87.4543	
1	141	-1.34615	121.245	87.432	
1	158	-1.40108	121.248	87.4117	
1	174	-1.45291	121.254	87.3889	
1	191	-1.4966	121.258	87.3679	
1	208	-1.52907	121.271	87.3476	
1	224	-1.56232	121.28	87.3375	
1	241	-1.6005	121.293	87.3178	
1	258	-1.63184	121.312	87.3022	
1	274	-1.6542	121.322	87.2842	
1	291	-1.67679	121.337	87.2711	
1	308	-1.7029	121.355	87.2578	
1	324	-1.70557	121.365	87.2439	
1	341	-1.70097	121.388	87.2315	
1	358	-1.69577	121.404	87.2209	
1	374	-1.6816	121.418	87.2104	
1	391	-1.67492	121.44	87.2028	
1	408	-1.66327	121.46	87.191	
1	424	-1.63277	121.484	87.1822	
1	441	-1.5992	121.504	87.1763	
1	458	-1.56538	121.525	87.1653	
1	474	-1.53182	121.553	87.1596	
1	491	-1.49916	121.575	87.1504	
1	508	-1.457	121.596	87.1404	
1	524	-1.42885	121.623	87.1311	
1	541	-1.39387	121.646	87.1224	
1	558	-1.36785	121.669	87.1085	
1	574	-1.34093	121.692	87.0941	
1	591	-1.30572	121.718	87.0865	
1	608	-1.27877	121.751	87.0786	
1	624	-1.24786	121.774	87.0624	
1	641	-1.21866	121.802	87.0493	
1	658	-1.20177	121.828	87.0321	
1	674	-1.19239	121.856	87.0144	
1	691	-1.17543	121.888	86.9993	
1	708	-1.16638	121.923	86.9864	
1	724	-1.16301	121.943	86.9663	
1	741	-1.15861	121.974	86.9509	
1	758	-1.16455	122.002	86.9279	
1	774	-1.16129	122.026	86.9155	
1	791	-1.15116	122.056	86.9014	
1	808	-1.15509	122.082	86.8814	
1	824	-1.17338	122.11	86.861	
1	841	-1.17489	122.137	86.8452	
1	858	-1.18535	122.163	86.8246	
1	874	-1.19372	122.184	86.8089	
1	891	-1.21312	122.21	86.7952	
1	908	-1.22245	122.229	86.7787	
1	924	-1.24223	122.258	86.7665	
1	941	-1.25177	122.277	86.7522	
1	958	-1.26091	122.305	86.7424	
1	974	-1.28256	122.324	86.7235	
1	991	-1.29849	122.343	86.7057	
1	1008	-1.31455	122.366	86.6965	
1	1024	-1.32782	122.382	86.6872	
1	1041	-1.32805	122.397	86.6748	
1	1058	-1.34179	122.416	86.6623	
1	1074	-1.35266	122.435	86.6555	
1	1091	-1.36418	122.456	86.6487	
1	1108	-1.37965	122.469	86.6325	
1	1124	-1.39048	122.483	86.625	
1	1141	-1.40272	122.498	86.612	
1	1158	-1.4141	122.511	86.6101	
1	1174	-1.42364	122.523	86.5951	
1	1191	-1.42335	122.536	86.5883	
1	1208	-1.43472	122.542	86.5822	
1	1224	-1.44113	122.557	86.574	
1	1241	-1.4435	122.563	86.5662	
1	1258	-1.45086	122.567	86.557	
1	1274	-1.46091	122.577	86.5464	
1	1291	-1.45531	122.586	86.5403	
1	1308	-1.45502	122.596	86.5321	
1	1324	-1.46517	122.603	86.5206	
1	1341	-1.47178	122.608	86.5147	
1	1358	-1.48586	122.619	86.5063	
1	1374	-1.50893	122.629	86.4982	
1	1391	-1.52181	122.636	86.4878	
1	1408	-1.54107	122.643	86.4808	
1	1424	-1.56624	122.654	86.4651	
1	1441	-1.60289	122.659	86.4576	
1	1458	-1.64319	122.668	86.4454	
1	1474	-1.67474	122.674	86.4334	
1	1491	-1.71749	122.683	86.4231	
1	1508	-1.76224	122.686	86.4104	
1	1524	-1.805	122.697	86.4006	
1	1541	-1.84959	122.706	86.3871	
1	1558	-1.89737	122.716	86.3851	
1	1574	-1.93963	122.729	86.3761	
1	1591	-1.98953	122.731	86.3644	
1	1608	-2.03347	122.743	86.3541	
1	1624	-2.07353	122.743	86.3472	
1	1641	-2.1134	122.749	86.3387	
1	1658	-2.15012	122.757	86.3368	
1	1674	-2.19248	122.764	86.334	
1	1691	-2.22159	122.76	86.3326	
1	1708	-2.25631	122.763	86.3301	
1	1724	-2.28429	122.76	86.3326	
1	1741	-2.31152	122.749	86.3345	
1	1758	-2.33283	122.744	86.3325	
1	1774	-2.35209	122.731	86.3304	
1	1791	-2.38016	122.712	86.3242	
1	1808	-2.40023	122.685	86.3154	
1	1824	-2.41251	122.656	86.309	
1	1841	-2.43042	122.614	86.2879	
1	1858	-2.45505	122.566	86.2728	
1	1874	-2.47055	122.502	86.2485	
1	1891	-2.48959	122.432	86.2229	
1	1908	-2.49831	122.351	86.1954	
1	1924	-2.50945	122.254	86.161	
1	1941	-2.52737	122.143	86.1262	
1	1958	-2.55199	122.018	86.084	
1	1974	-2.57071	121.884	86.0475	
1	1991	-2.59821	121.728	85.9964	
1	2008	-2.61989	121.562	85.9462	
1	2024	-2.6545	121.376	85.8833	
1	2041	-2.69317	121.174	85.8278	
1	2058	-2.74395	120.959	85.7638	
1	2074	-2.81145	120.721	85.6883	
1	2091	-2.87319	120.471	85.6102	
1	2108	-2.9535	120.2	85.5282	
1	2124	-3.03319	119.914	85.4477	
1	2141	-3.13047	119.607	85.3551	
1	2158	-3.23449	119.285	85.2528	
1	2174	-3.34804	118.938	85.1564	
1	2191	-3.46962	118.587	85.0542	
1	2208	-3.60557	118.212	84.9505	
1	2224	-3.75988	117.819	84.8389	
1	2241	-3.92258	117.414	84.7308	
1	2258	-4.09348	116.994	84.6224	
1	2274	-4.27826	116.556	84.5068	
1	2291	-4.48019	116.098	84.396	
1	2308	-4.68464	115.632	84.2843	
1	2324	-4.89571	115.155	84.1724	
1	2341	-5.13059	114.661	84.0644	
1	2358	-5.36246	114.154	83.9579	
1	2374	-5.60359	113.637	83.8589	
1	2391	-5.85675	113.116	83.7583	
1	2408	-6.12285	112.582	83.6647	
1	2424	-6.38789	112.044	83.5758	
1	2441	-6.65331	111.497	83.4986	
1	2458	-6.92327	110.945	83.4199	
1	2474	-7.19116	110.385	83.3474	
1	2491	-7.46347	109.827	83.2863	
1	2508	-7.73696	109.265	83.2267	

