Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	8	10.7772	112.446	100.085	
1	-9	10.867	112.434	100.094	
1	24	10.8037	112.471	100.044	
1	41	10.7581	112.519	100.066	
1	58	10.6835	112.493	100.016	
1	74	10.6427	112.547	100.023	
1	91	10.6411	112.584	100.008	
1	108	10.6373	112.583	99.9793	
1	124	10.6566	112.616	99.9572	
1	141	10.6768	112.674	99.9466	
1	158	10.6278	112.692	99.9245	
1	174	10.5282	112.727	99.949	
1	191	10.5515	112.77	99.9289	
1	208	10.5402	112.766	99.9124	
1	224	10.5547	112.802	99.8836	
1	241	10.5857	112.828	99.8955	
1	258	10.5209	112.885	99.9196	
1	274	10.5335	112.886	99.9119	
1	291	10.5201	112.915	99.8955	
1	308	10.5063	112.962	99.9188	
1	324	10.5126	112.974	99.882	
1	341	10.5124	112.999	99.9039	
1	358	10.5221	113.015	99.8929	
1	374	10.5355	113.043	99.9049	
1	391	10.4951	113.103	99.9284	
1	408	10.5384	113.094	99.9026	
1	424	10.5326	113.145	99.9337	
1	441	10.5307	113.188	99.9052	
1	458	10.4827	113.25	99.9575	
1	474	10.5895	113.232	99.9265	
1	491	10.5851	113.341	99.9532	
1	508	10.5748	113.315	99.9205	
1	524	10.5459	113.393	99.9357	
1	541	10.5609	113.407	99.9539	
1	558	10.5336	113.447	99.9593	
1	574	10.4838	113.522	99.9258	
1	591	10.5188	113.633	99.9793	
1	608	10.5242	113.618	99.9164	
1	624	10.5167	113.648	99.9246	
1	641	10.5176	113.745	99.9021	
1	658	10.5003	113.766	99.9083	
1	674	10.3749	113.856	99.9496	
1	691	10.3452	113.934	99.9669	
1	708	10.3869	113.975	99.8992	
1	724	10.3283	114.066	99.9587	
1	741	10.3262	114.179	99.9475	
1	758	10.2993	114.186	99.9202	
1	774	10.2691	114.262	99.8979	
1	791	10.2187	114.343	99.9491	
1	808	10.1896	114.407	99.9458	
1	824	10.1875	114.453	99.8945	
1	841	10.1509	114.544	99.949	
1	858	10.1119	114.617	99.9439	
1	874	10.0946	114.678	99.9614	
1	891	10.0587	114.764	99.9782	
1	908	10.0449	114.803	99.9528	
1	924	10.0382	114.884	99.9788	
1	941	9.99549	114.944	100.003	
1	958	10.0133	115.001	99.9925	
1	974	10.0031	115.013	100.019	
1	991	9.99994	115.125	99.9866	
1	1008	9.87987	115.197	100.07	
1	1024	9.89157	115.189	100.023	
1	1041	9.91628	115.271	100.042	
1	1058	9.86867	115.325	100.092	
1	1074	9.87811	115.366	100.091	
1	1091	9.94149	115.399	100.061	
1	1108	9.90875	115.448	100.105	
1	1124	9.85205	115.438	100.088	
1	1141	9.82743	115.488	100.122	
1	1158	9.89188	115.541	100.116	
1	1174	9.80733	115.729	100.205	
1	1191	9.81884	115.688	100.138	
1	1208	9.90877	115.693	100.113	
1	1224	9.85343	115.794	100.183	
1	1241	9.85063	115.813	100.189	
1	1258	9.88805	115.804	100.168	
1	1274	9.87186	115.855	100.194	
1	1291	9.89499	115.846	100.147	
1	1308	9.91473	115.849	100.183	
1	1324	9.94576	115.849	100.134	
1	1341	9.98095	115.846	100.106	
1	1358	9.98316	115.867	100.132	
1	1374	10.0101	115.86	100.097	
1	1391	10.0356	115.835	100.061	
1	1408	10.0321	115.865	100.048	
1	1424	9.98928	115.899	100.035	
1	1441	10.052	115.878	100.069	
1	1458	10.0098	115.912	100.026	
1	1474	10.0224	115.889	100.013	
1	1491	10.0269	115.932	99.9963	
1	1508	9.9407	115.957	100.018	
1	1524	9.96535	115.921	100.014	
1	1541	9.99164	115.942	99.9604	
1	1558	9.99675	116	99.9789	
1	1574	9.98694	115.982	99.9621	
1	1591	9.95819	115.994	99.9899	
1	1608	9.93982	116.055	99.9723	
1	1624	9.91371	116.035	99.9829	
1	1641	9.88783	116.067	99.9943	
1	1658	9.96408	116.118	99.9978	
1	1674	9.99671	116.094	99.9733	
1	1691	9.92182	116.114	100.023	
1	1708	9.98692	116.138	100.018	
1	1724	9.92884	116.115	100.038	
1	1741	9.93874	116.109	100.041	
1	1758	9.95697	116.109	100.065	
1	1774	9.90421	116.155	100.101	
1	1791	9.93739	116.147	100.117	
1	1808	9.94673	116.141	100.097	
1	1824	9.94638	116.135	100.134	
1	1841	9.92405	116.142	100.159	
1	1858	9.90869	116.138	100.139	
1	1874	9.90246	116.098	100.099	
1	1891	9.91128	116.089	100.096	
1	1908	9.89939	116.032	100.06	
1	1924	9.88894	115.999	99.9945	
1	1941	9.88536	115.937	99.9507	
1	1958	9.87009	115.908	99.8803	
1	1974	9.77047	115.847	99.8489	
1	1991	9.8067	115.738	99.779	
1	2008	9.80842	115.66	99.6347	
1	2024	9.80523	115.56	99.5258	
1	2041	9.80496	115.454	99.4479	
1	2058	9.85871	115.272	99.2914	
1	2074	9.75798	115.152	99.2042	
1	2091	9.74848	114.904	99.073	
1	2108	9.74923	114.785	98.9417	
1	2124	9.72703	114.637	98.7634	
1	2141	9.72113	114.469	98.4087	
1	2158	9.71704	114.312	98.2201	
1	2174	9.64434	114.137	98.0704	
1	2191	9.53472	113.927	97.9209	
1	2208	9.50771	113.746	97.7557	
1	2224	9.47525	113.542	97.5906	
1	2241	9.39238	113.326	97.3987	
1	2258	9.357	113.095	97.1597	
1	2274	9.24224	112.829	97.0543	
1	2291	9.19821	112.574	96.8425	
1	2308	9.14497	112.314	96.6299	
1	2324	9.07903	112.09	96.4403	
1	2341	8.97959	111.782	96.2143	
1	2358	8.90456	111.534	95.9905	
1	2374	8.8318	111.232	95.7462	
1	2391	8.68226	110.947	95.5251	
1	2408	8.64582	110.613	95.3739	
1	2424	8.52762	110.222	95.1078	
1	2441	8.43044	109.869	94.8903	
1	2458	8.34738	109.442	94.6356	
1	2474	8.19996	109.068	94.4249	
1	2491	8.13683	108.747	94.2818	
1	2508	8.08532	108.269	93.9415	
2	8	11.7535	112.124	97.9225	
2	-9	11.8387	112.111	97.9304	
2	24	11.789	112.163	97.8845	
2	41	11.7434	112.215	97.9056	
2	58	11.6842	112.2	97.8612	
2	74	11.6422	112.251	97.8678	
2	91	11.6425	112.291	97.8538	
2	108	11.6385	112.296	97.8238	
2	124	11.6566	112.334	97.8002	
2	141	11.6811	112.416	97.7886	
2	158	11.6288	112.433	97.765	
2	174	11.5626	112.483	97.8036	
2	191	11.5732	112.517	97.7788	
2	208	11.5711	112.528	97.7645	
2	224	11.5875	112.562	97.737	
2	241	11.6246	112.593	97.7517	
2	258	11.5626	112.651	97.7772	
2	274	11.5779	112.654	97.7705	
2	291	11.5665	112.686	97.7548	
2	308	11.5559	112.734	97.7795	
2	324	11.5631	112.75	97.7428	
2	341	11.5661	112.775	97.7664	
2	358	11.5778	112.794	97.7562	
2	374	11.5914	112.821	97.7685	
2	391	11.5556	112.882	97.7943	
2	408	11.5986	112.872	97.7684	
2	424	11.5968	112.925	97.8013	
2	441	11.5944	112.965	97.7729	
2	458	11.5566	113.028	97.8303	
2	474	11.6554	113.012	97.795	
2	491	11.6491	113.117	97.8214	
2	508	11.6536	113.095	97.7955	
2	524	11.6101	113.161	97.8048	
2	541	11.6389	113.178	97.8298	
2	558	11.6109	113.22	97.8345	
2	574	11.5639	113.281	97.804	
2	591	11.5815	113.384	97.85	
2	608	11.603	113.384	97.7932	
2	624	11.5891	113.41	97.7986	
2	641	11.5897	113.504	97.7766	
2	658	11.5677	113.521	97.7809	
2	674	11.4508	113.605	97.8273	
2	691	11.4195	113.678	97.8444	
2	708	11.4516	113.724	97.771	
2	724	11.3854	113.804	97.828	
2	741	11.3644	113.905	97.8093	
2	758	11.3488	113.919	97.7865	
2	774	11.3184	113.987	97.7653	
2	791	11.266	114.062	97.8162	
2	808	11.2301	114.129	97.8091	
2	824	11.2263	114.167	97.758	
2	841	11.1813	114.261	97.808	
2	858	11.1429	114.324	97.8046	
2	874	11.1198	114.393	97.818	
2	891	11.0834	114.462	97.8369	
2	908	11.0601	114.512	97.8055	
2	924	11.0546	114.578	97.8343	
2	941	11.0009	114.644	97.852	
2	958	11.0125	114.69	97.8406	
2	974	10.9979	114.704	97.8651	
2	991	10.9902	114.811	97.8314	
2	1008	10.8757	114.88	97.9171	
2	1024	10.8893	114.875	97.8711	
2	1041	10.8946	114.946	97.8831	
2	1058	10.8654	115.009	97.9397	
2	1074	10.8478	115.034	97.929	
2	1091	10.916	115.073	97.9005	
2	1108	10.8959	115.119	97.951	
2	1124	10.8461	115.106	97.938	
2	1141	10.8186	115.152	97.9709	
2	1158	10.8794	115.206	97.9634	
2	1174	10.802	115.351	98.0633	
2	1191	10.8192	115.321	97.997	
2	1208	10.9109	115.337	97.9705	
2	1224	10.8527	115.413	98.0446	
2	1241	10.8546	115.432	98.0526	
2	1258	10.8964	115.43	98.0321	
2	1274	10.8845	115.48	98.0604	
