Sensor_Positions_2.0
Sensor#	Time	X	Y	Z
1	8	3807.76	-1687.67	-1300.25	
1	-9	3822.85	-1735.79	-1457.25	
1	24	3753.6	-1573.31	-1361.5	
1	41	3691.77	-1640.24	-1384.43	
1	58	3831.92	-1734.08	-1402.54	
1	74	3775.54	-1651.74	-1382.6	
1	91	3892.06	-1591.53	-1300.83	
1	108	3410.79	-1347.88	-1502.28	
1	124	3635.61	-1472.34	-1350.83	
1	141	3422.49	-1376.79	-1263.33	
1	158	3354.86	-1304.86	-1224.98	
1	174	3650.44	-1307.98	-1314.52	
1	191	3374.62	-1236.26	-1175.18	
1	208	3435.44	-1238.66	-1161.38	
1	224	3426.14	-1192.92	-923.849	
1	241	3399.85	-1153.77	-891.582	
1	258	3482.99	-1159.59	-884.602	
1	274	3341.5	-1025.68	-1017.36	
1	291	3217.39	-998.326	-933.012	
1	308	3136.34	-882.485	-645.367	
1	324	3172.5	-788.732	-462.87	
1	341	3078.46	-794.343	-463.21	
1	358	3021.8	-853.368	-593.49	
1	374	2875.59	-801.47	-526.208	
1	391	2892.13	-681.805	-587.352	
1	408	2831.11	-685.377	-253.574	
1	424	2862.15	-598.308	-419.936	
1	441	2737.63	-507.999	-264.096	
1	458	2731.38	-463.827	-265.85	
1	474	2680.46	-370.483	-221.971	
1	491	2550.98	-398.379	-138.155	
1	508	2556.66	-359.697	-250.67	
1	524	2461.64	-335.419	-105.021	
1	541	2460.05	-227.249	-368.08	
1	558	2408.82	-175.633	-16.0936	
1	574	2355.06	-232.784	-115.233	
1	591	2264.67	-219.709	-215.741	
1	608	2183.41	-248.889	-197.93	
1	624	2192.61	-127.024	-149.004	
1	641	2062.63	-208.119	-193.788	
1	658	2050.61	-103.962	-399.1	
1	674	2209.96	-101.473	-365.104	
1	691	1946.58	-78.3225	-384.591	
1	708	2152.29	-142.113	-436.131	
1	724	2085.16	-77.6118	-173.278	
1	741	2025.74	-58.5149	-328.442	
1	758	2004.72	-66.3492	-585.125	
1	774	1939.29	-69.8279	-420.788	
1	791	1817.45	32.4941	-515.402	
1	808	1999.1	36.6924	-558.911	
1	824	2054.23	56.4367	-595.83	
1	841	1910.69	55.0312	-619.143	
1	858	1936.12	94.4269	-455.704	
1	874	2006.13	-42.985	-452.886	
1	891	1893.53	34.1788	-258.703	
1	908	1507.66	96.256	-616.053	
1	924	1578	14.5997	-531.239	
1	941	1724.31	1.05926	-617.471	
1	958	1711.74	88.1138	-489.053	
1	974	1731.35	110.589	-391.19	
1	991	1700.69	147.068	-268.161	
1	1008	1829.64	62.9863	-338.003	
1	1024	1799.24	-117.482	-307.866	
1	1041	1665.12	25.104	-323.461	
1	1058	1912.19	141.841	-273.958	
1	1074	1768.36	41.609	-195.507	
1	1091	1850.4	71.51	-73.4672	
1	1108	1916.75	19.2369	20.2555	
1	1124	1915.27	133.436	-24.197	
1	1141	1954	129.115	32.8202	
1	1158	2006.09	94.6995	234.519	
1	1174	2105.62	156.975	260.928	
1	1191	2226.55	140.075	422.82	
1	1208	2255.09	180.456	512.774	
1	1224	2212.9	217.492	427.105	
1	1241	2366.69	241.512	319.537	
1	1258	2229.97	240.99	393.377	
1	1274	2494.95	343.536	668.215	
1	1291	2535.75	301.105	632.603	
1	1308	2562.73	222.178	576.189	
1	1324	2609.63	253.887	566.434	
1	1341	2753.68	243.18	700.963	
1	1358	2774.48	327.731	773.442	
